Country,Year,Project,Response,Sample
Afghanistan,2005,Satis_AsB,419,874
Albania,1991,Satis1_CEEB,420,1000
Albania,1992,Satis1_CEEB,445,1049
Albania,1993,Satis1_CEEB,432,1054
Albania,1994,Satis1_CEEB,350,1034
Albania,1995,Satis1_CEEB,618,1003
Albania,1996,Satis1_CEEB,770,1013
Albania,2002,Satis_WVS,263,1000
Albania,2005,Satis_CSES,398,1116
Albania,2008,Satis_EVS,284,1534
Albania,2012,Satis_ESS,341,1201
Algeria,2002,Satis_WVS,481,1282
Algeria,2013,Satis_AfB,737,1204
Algeria,2015,Satis_AfB,545,1200
Argentina,1995,Satis_LB,606,1200
Argentina,1996,Satis_LB,409,1199
Argentina,1997,Satis_LB,499,1196
Argentina,1998,Satis_LB,595,1200
Argentina,1999,Satis_WVS,536,1280
Argentina,2000,Satis_LB,556,1200
Argentina,2001,Satis_LB,243,1200
Argentina,2002,Satis_LB,100,1200
Argentina,2003,Satis_LB,407,1200
Argentina,2004,Satis_LB,408,1200
Argentina,2005,Satis_LB,404,1200
Argentina,2006,Satis_LB,601,1200
Argentina,2007,Satis_LB,401,1200
Argentina,2008,Satis_LB,407,1200
Argentina,2008,Satis_LAPOP,747,1486
Argentina,2009,Satis_LB,434,1200
Argentina,2010,Satis_LB,590,1200
Argentina,2010,Satis_LAPOP,622,1410
Argentina,2011,Satis_LB,692,1200
Argentina,2012,Satis_LAPOP,1012,1500
Argentina,2013,Satis_LB,616,1200
Argentina,2013,Satis_Pew,467,819
Argentina,2014,Satis_LAPOP,865,1512
Argentina,2015,Satis_LB,647,1200
Argentina,2017,Satis_Pew,466,1012
Armenia,1992,Satis1_CEEB,127,918
Armenia,1993,Satis1_CEEB,59,1000
Armenia,1994,Satis1_CEEB,95,1000
Armenia,1995,Satis1_CEEB,192,1000
Armenia,1996,Satis1_CEEB,193,1000
Armenia,1997,Satis_WVS,90,2000
Armenia,2008,Satis_EVS,683,1477
Australia,1996,Satis_CSES,1377,1798
Australia,2004,Satis_CSES,1411,1769
Australia,2007,Satis_CSES,1589,1873
Australia,2013,Satis_CSES,2875,3952
Australia,2017,Satis_Pew,580,1000
Austria,1995,Satis_EB,1283,2093
Austria,1997,Satis_EB,1200,2132
Austria,1998,Satis_EB,1240,2059
Austria,1999,Satis_EVS,1090,1522
Austria,1999,Satis_EB,1349,2023
Austria,2000,Satis_EB,1173,2005
Austria,2001,Satis_EB,1200,2034
Austria,2002,Satis_ESS,1104,2257
Austria,2002,Satis_EB,1442,2010
Austria,2003,Satis_EB,1324,2031
Austria,2004,Satis_ESS,1246,2256
Austria,2004,Satis_EB,1389,2059
Austria,2005,Satis_EB,1376,2020
Austria,2006,Satis_ESS,1379,2405
Austria,2006,Satis_EB,1533,2033
Austria,2007,Satis_EB,1613,2026
Austria,2008,Satis_EVS,778,1510
Austria,2009,Satis_CSES,838,1165
Austria,2010,Satis_EB,1564,2000
Austria,2011,Satis_EB,1466,2019
Austria,2012,Satis_EB,1361,1986
Austria,2013,Satis_CSES,665,1000
Austria,2013,Satis_EB,1487,2031
Austria,2014,Satis_ESS,858,1795
Austria,2014,Satis_EB,1297,2032
Austria,2015,Satis_EB,1276,2034
Austria,2016,Satis_ESS,1154,1980
Austria,2016,Satis_EB,1322,2051
Austria,2017,Satis_EB,1454,2016
Azerbaijan,1997,Satis_WVS,786,2002
Azerbaijan,2008,Satis_EVS,1159,1505
Bangladesh,2002,Satis_WVS,1141,1500
Bangladesh,2005,Satis_AsB,541,1008
Bangladesh,2005,Satis_SAB,632,1240
Bangladesh,2013,Satis_SAB,535,1424
Belarus,1992,Satis1_CEEB,111,1030
Belarus,1993,Satis1_CEEB,156,1143
Belarus,1994,Satis1_CEEB,128,1099
Belarus,1995,Satis1_CEEB,131,1021
Belarus,1996,Satis_WVS,287,2092
Belarus,1996,Satis1_CEEB,173,1061
Belarus,2000,Satis_EVS,254,1000
Belarus,2001,Satis_CSES,382,1000
Belarus,2008,Satis_EVS,761,1500
Belarus,2009,Satis_CSES,526,1000
Belgium,1973,Satis_EB,815,1266
Belgium,1976,Satis_EB,1087,2040
Belgium,1977,Satis_EB,1059,1994
Belgium,1978,Satis_EB,986,2021
Belgium,1979,Satis_EB,923,2015
Belgium,1980,Satis_EB,670,2031
Belgium,1981,Satis_EB,684,1922
Belgium,1982,Satis_EB,977,2230
Belgium,1983,Satis_EB,982,2033
Belgium,1984,Satis_EB,965,2053
Belgium,1985,Satis_EB,1121,2023
Belgium,1986,Satis_EB,971,2006
Belgium,1987,Satis_EB,993,2015
Belgium,1988,Satis_EB,1074,2046
Belgium,1989,Satis_EB,1200,2004
Belgium,1990,Satis_EB,1189,1959
Belgium,1991,Satis_EB,1224,2067
Belgium,1992,Satis_EB,1058,2079
